Basic Agent1
search : 762   dist : 824    Total : 1586
search : 1959   dist : 2202    Total : 4161
search : 662   dist : 685    Total : 1347
search : 1385   dist : 1501    Total : 2886
search : 373   dist : 387    Total : 760
search : 1977   dist : 2148    Total : 4125
search : 1445   dist : 1567    Total : 3012
search : 4372   dist : 6578    Total : 10950
search : 4077   dist : 6306    Total : 10383



Basic Agent2
search : 631   dist : 1396    Total : 2027
search : 87   dist : 145    Total : 232
search : 244   dist : 447    Total : 691
search : 197   dist : 342    Total : 539
search : 638   dist : 1429    Total : 2067
search : 629   dist : 1361    Total : 1990
search : 87   dist : 140    Total : 227
search : 542   dist : 1180    Total : 1722
search : 533   dist : 1097    Total : 1630
search : 331   dist : 587    Total : 918
Basic Agent1
search : 1877   dist : 2117    Total : 3994
search : 1226   dist : 1314    Total : 2540
search : 539   dist : 568    Total : 1107
search : 2210   dist : 2512    Total : 4722
search : 660   dist : 737    Total : 1397
search : 1476   dist : 1629    Total : 3105
search : 604   dist : 636    Total : 1240
search : 2294   dist : 2716    Total : 5010
search : 4744   dist : 7559    Total : 12303
search : 179   dist : 180    Total : 359



Basic Agent2
search : 636   dist : 1466    Total : 2102
search : 617   dist : 1334    Total : 1951
search : 634   dist : 1407    Total : 2041
search : 224   dist : 412    Total : 636
search : 539   dist : 1094    Total : 1633
search : 624   dist : 1400    Total : 2024
search : 3134   dist : 8275    Total : 11409
search : 582   dist : 1208    Total : 1790
search : 101   dist : 184    Total : 285
search : 557   dist : 1180    Total : 1737



basic Agent1 score ave : 3906.200
basic Agent2 score ave : 2474.780
